Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0016310~phosphorylation	93	18.34319526627219	2.214633917135736E-43	ALK, GSK3B, ITK, FLT1, FLT3, FLT4, ADK, PIK3CD, PIK3CB, PIK3CG, IGF1R, RPS6KA3, RPS6KA5, PLAU, CHEK1, KDR, AKT1, NEK2, JAK2, JAK3, MAP3K7, EPHB4, JAK1, MAP2K1, MAP2K2, CSNK2A1, SYK, SPHK2, PDPK1, PRKCB, SPHK1, PRKCE, DYRK1A, PLAUR, CSNK1D, PRKCA, TYK2, TGFBR1, ERN1, PKM, PIK3CA, MAPKAPK3, LCK, KIT, PRKD1, TOP1, RAF1, SGK1, MET, ROCK1, ROCK2, SRC, PRKDC, TTK, PRKCZ, EGFR, AURKB, STK3, AURKA, MAPK9, PAK1, MAPK8, MKNK1, ERBB2, ABL1, MAPK1, MAPK3, MAP4K4, CHKA, LIMK2, INSR, PLK1, STAT3, EIF2AK3, BRAF, CDC7, MAPK14, MTOR, PTK2, WEE1, RPS6KB1, CDK5, AXL, CDK4, TAOK1, CDK2, CDK1, TEK, CALM1, FGFR3, MAP3K11, FGFR2, FGFR1	506	633	19734	5.729857819905212	9.923774582685232E-40	9.923774582685232E-40	8.807599088448822E-40
GOTERM_BP_DIRECT	GO:0006468~protein phosphorylation	73	14.398422090729785	4.2832154085274093E-42	APP, GSK3B, ITK, DYRK2, ILK, PIK3CD, IKBKB, LIPE, RPS6KA5, CHEK1, PIM1, AKT1, PIM3, NEK2, JAK2, JAK3, JAK1, BRD2, EPHA4, MAP2K1, CSNK2A1, SYK, CHUK, PDPK1, PRKCB, PRKCE, DYRK1A, CSNK1D, PRKCA, TYK2, TGFBR1, CDC25B, ERN1, LCK, MAPKAPK2, RARA, BIRC5, RAF1, SGK1, ROCK1, ROCK2, SRC, PRKDC, PRKCZ, AURKB, STK3, AURKA, MAPK9, PAK1, MAPK8, MKNK1, ERBB2, ABL1, PTK2B, MAPK1, MAPK3, MAP4K4, LIMK2, INSR, PLK1, EIF2AK3, BRAF, MTOR, PTK2, WEE1, CDK6, CDK5, CDK4, TAOK1, CDK2, CDK1, MAP3K11, FGFR1	506	376	19734	7.571808510638298	1.9193088245611321E-38	9.596544122805661E-39	8.517173839856753E-39
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	64	12.6232741617357	2.5254905819168093E-30	CXCL8, PIK3CD, ITGAL, TNF, PIK3CG, LTB4R, POLB, IKBKB, RPS6KA5, ADORA3, ADORA1, FFAR4, AKT1, BDKRB1, CCR5, CCR4, MAP3K7, CCR2, PTGDR, CHUK, SPHK1, PLA2G4C, F2R, MIF, TACR1, IL1B, MAPKAPK2, KIT, AGTR1, TLR9, TLR8, PRKD1, TLR4, MGLL, IDO1, PTGER4, PTGER2, ALOX15, NOD1, HDAC9, PRKCZ, RELA, HRH1, FUT7, CNR2, CXCR3, HRH4, CXCR2, NLRP3, AOC3, CCR1, VCAM1, KDM4D, NOS2, PLA2G2A, STAT3, SELE, MTOR, P2RX7, NR4A1, AXL, FASN, NOX4, NFE2L2	506	422	19734	5.914691943127961	1.1316723297569222E-26	3.772241099189741E-27	3.347958681427717E-27
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	68	13.41222879684418	5.454438825107812E-29	GSK3B, HSP90AB1, FLT4, AKR1B1, MPO, TNF, IGF1R, GLI2, RPS6KA3, SHH, ADORA1, PIM1, KDR, FFAR4, CD38, AKT1, CTSH, PIM3, TGM2, SPHK1, PLAUR, AKR1A1, MIF, MMP9, SIRT1, TGFBR1, SMO, BIRC5, RAF1, IL6ST, TP53, HDAC2, HDAC3, SRC, PRKDC, HDAC1, GSTP1, PRKCZ, MALT1, EGFR, RELA, AURKA, MAPK8, ERBB2, PTK2B, MCL1, SNCA, MAP4K4, NQO1, PLK1, BRAF, GCG, MTOR, PTK2, VEGFA, FABP1, RPS6KB1, AXL, BCL2, CDK1, MDM2, PDCD4, CTNNB1, ERCC5, MDM4, TEK, BCL2L1, HSPA1A	506	507	19734	5.230769230769231	2.4441340375308106E-25	6.110335093827026E-26	5.423075801863442E-26
GOTERM_BP_DIRECT	GO:0046777~protein autophosphorylation	39	7.6923076923076925	2.2816613581217516E-27	ALK, GSK3B, FLT1, FLT3, SRC, FLT4, EGFR, AURKB, AURKA, IGF1R, PAK1, MKNK1, KDR, ABL1, PIM1, PTK2B, AKT1, PIM3, NEK2, JAK2, EPHB4, PDGFRA, EPHA4, PDPK1, INSR, CAD, DYRK1A, EIF2AK3, MTOR, PTK2, ERN1, MAPKAPK3, TAOK1, KIT, MAPKAPK2, PRKD1, MAP3K11, FGFR2, FGFR1	506	149	19734	10.208053691275168	1.0224124545743569E-23	2.0448249091487137E-24	1.814833444250041E-24
GOTERM_BP_DIRECT	GO:0008284~positive regulation of cell population proliferation	65	12.82051282051282	1.2640838918181275E-26	RARG, FLT1, FLT3, FLT4, ILK, GLI1, IGF1R, SHH, NAMPT, KDR, CTSH, CAPN1, JAK2, PDGFRA, EPHA4, CASR, CSNK2A1, SPHK2, PRMT1, SPHK1, AVPR2, F2R, MIF, F2, SIRT1, TGFBR1, CDC25B, AR, ADAM17, CCKBR, IL1B, RARA, BIRC5, IL6ST, HDAC2, PLA2G1B, HDAC1, CHRNA7, ODC1, TTK, PRKCZ, EGFR, RELA, DPP4, PAK1, CXCR3, ERBB2, CXCR2, PTK2B, KDM4C, INSR, CDC7, PTK2, SMARCA4, VEGFA, CDK4, CDK2, BCL2, MDM2, CTNNB1, PTPN6, FGFR3, FGFR2, FGFR1, EZH2	506	506	19734	5.009881422924901	5.66435991923703E-23	9.44059986539505E-24	8.378769396267822E-24
GOTERM_BP_DIRECT	GO:0018105~peptidyl-serine phosphorylation	38	7.495069033530571	2.3687115058914304E-25	GSK3B, DYRK2, ROCK1, TNKS, PRKDC, TTK, PRKCZ, AURKA, IKBKB, RPS6KA3, MAPK8, RPS6KA5, MKNK1, AKT1, MAPK1, CSNK2A1, CHUK, PRKCB, PDPK1, PRKCE, PLK1, DYRK1A, EIF2AK3, PRKCA, CSNK1D, CDC7, MAPK14, TGFBR1, MTOR, RPS6KB1, MAPKAPK3, CDK5, MAPKAPK2, CDK2, CDK1, PRKD1, TOP1, SGK1	506	157	19734	9.439490445859873	1.0614196257899499E-21	1.5163137511284997E-22	1.345766522704317E-22
GOTERM_BP_DIRECT	GO:0043410~positive regulation of MAPK cascade	40	7.889546351084813	1.8283961673158932E-24	FLT1, ROCK1, ROCK2, CD81, FLT3, FLT4, CHRNA7, LPAR1, LPAR3, ADRB2, NOD2, ADRA1B, ADRA1A, TNF, GRM1, IGF1R, ERBB2, ADORA1, KDR, JAK2, DRD2, MAP2K1, SYK, PRKCE, INSR, F2R, ADRA2B, VEGFA, P2RX7, AR, PTPRC, ADRB3, KIT, TLR9, CTNNB1, TEK, RAF1, FGFR3, FGFR2, FGFR1	506	188	19734	8.297872340425531	8.193043225742517E-21	1.0241304032178146E-21	9.089414446769133E-22
GOTERM_BP_DIRECT	GO:0032496~response to lipopolysaccharide	35	6.903353057199212	5.8321458329714794E-24	PTGER4, HDAC2, HPGD, PTGER2, PTGS2, MPO, RPS6KA3, CYP27B1, CNR2, CNR1, CASP3, BDKRB1, NOS1, JAK2, ELANE, SNCA, NQO1, ACE, VCAM1, NOS2, CHUK, NOS3, F2R, SELE, P2RX7, ADAM17, RPS6KB1, MAPKAPK3, IL1B, MAPKAPK2, CYP1A1, REN, TLR4, FGFR2, IDO1	506	139	19734	9.820143884892087	2.61338454775452E-20	2.9037606086161334E-21	2.5771604419697306E-21
GOTERM_BP_DIRECT	GO:0001666~response to hypoxia	37	7.297830374753452	2.3134808480516526E-22	EPAS1, CHRNA7, PLAT, KCNA5, COMT, HIF1A, TNF, SLC6A4, DPP4, HSD11B2, EDNRA, PLAU, CASP3, ADORA1, CAPN2, PTK2B, EP300, CD38, CA9, NOS1, DRD2, EGLN1, EGLN3, CPT1A, ACE, VCAM1, NOS2, MMP2, VEGFA, ADAM17, MMP14, KCNMA1, CYP1A1, PIN1, TEK, PPARA, ADA	506	177	19734	8.152542372881355	1.0366707680119456E-18	1.0366707680119455E-19	9.200713332701422E-20
